,title,subtitle,price_unit,price,price_unit_2,price_2,type_size,bedrooms,suite,parking,description
20,"QC 1, JARDINS MANGUEIRAL, BRASILIA",,R$,1.700,m² R$,35,Aluguel Apartamento 48 m²,2 Quartos,1 Vaga,,"Ótimo apartamento térreo, localizado na QC 01, quadra mais próxima ao centro de Brasília, composto: Sala dois ambientes ... 21/08/22"
21,"SQN 111 Bloco C, ASA NORTE, BRASILIA",,R$,7.950,m² R$,57,Aluguel Apartamento 138 m²,3 Quartos,2 Suítes,2 Vagas,"O condomínio residencial Maison Strauss é composto por uma torre única. Prédio com cobertura coletiva, salão de festa... 21/08/22"
22,"SQSW 100 Bloco G, SUDOESTE, BRASILIA",,R$,8.500,m² R$,42,Aluguel Apartamento 200 m²,3 Quartos,2 Suítes,2 Vagas,"SQSW 100 Bloco G, Maison Constance / Sudoeste Apartamento reformado com vista livre para o parque da cidade, com a segu... 21/08/22"
23,"QMSW 4 Lote 4, SUDOESTE, BRASILIA",,R$,1.200,m² R$,40,Aluguel Apartamento 30 m²,1 Quarto,1 Vaga,,Reformado - QMSW 04 BL 04 - ED. MONTE OLIMPO - SUDOESTE Excelente apartamento com piso flutuante composta por: Sala co... 21/08/22
24,"CA 02, LAGO NORTE, BRASILIA",,R$,850,m² R$,26,Aluguel Kitnet 32 m²,1 Quarto,,,"SALA, COPA COM ARMÁRIO, TANQUE ESPAÇO PARA MAQUINA DE LAVAR, 01 QUARTOS COM ARMÁRIO, BANHEIRO SOCIAL COM BOX, PISO CERÂM... 21/08/22"
25,"Quadra 208, SUL, AGUAS CLARAS",,R$,3.400,m² R$,30,Aluguel Apartamento 112 m²,1 Quarto,1 Suíte,2 Vagas,"AP13212 - Apartamento para alugar com 2 quartos, 112m² - Qd 208 Lote 05 - Costa Verde, Águas Claras, Df Excelente opção... 21/08/22"
26,"QI 3, SETOR INDUSTRIAL, TAGUATINGA",,R$,1.600,m² R$,27,Aluguel Apartamento 58 m²,2 Quartos,1 Suíte,1 Vaga,"Altos de Taguatinga I - 2 Quartos Suíte Apartamento de 55m² com 2 quartos e varanda. O imóvel dispõe de: - 2 Quartos, s... 21/08/22"
27,"SQSW 300 Bloco I, SUDOESTE, BRASILIA",,R$,14.500,m² R$,54,Aluguel Apartamento 266 m²,4 Quartos,4 Suítes,4 Vagas,FEROLA - VENCEDORA PELO 10º ANO CONSECUTIVO DO PRÊMIO COLIBRI ALUGA: RESID. ODETE TOMAZ - SQSW 300 BLOCO I - 4° ANDAR –... 21/08/22
28,"SQN 216 Bloco D, ASA NORTE, BRASILIA",,R$,3.000,m² R$,32,Aluguel Apartamento 91 m²,2 Quartos,1 Vaga,,"IMÓVEL EM PROCESSO DE DESOCUPAÇÃO, EM BREVE SERÁ DISPONIBILIZADO PARA VISITAS ATENÇÃO: Os valores anunciados poderão ... 21/08/22"
29,"Quadra 1, SETOR SUL, GAMA",,R$,410,m² R$,14,Aluguel Kitnet 28 m²,1 Quarto,,,"IMOBILIÁRIA FERNANDES aluga excelente apartamento na quadra 01 do Setor Sul, no qual o mesmo possui uma sala com banheir... 21/08/22"
30,"Rua 30, NORTE, AGUAS CLARAS",", Residencial Milena Baqui Muniz",R$,2.450,m² R$,39,Aluguel Apartamento 62 m²,2 Quartos,1 Suíte,1 Vaga,"Apartamento mobiliado 62m2 - Residencial Milena Baqui Muniz Apartamento com 02 quartos sendo 01 suíte, sala com 02 amb... 21/08/22"
31,"SQS 110 Bloco E, ASA SUL, BRASILIA",,R$,5.500,m² R$,34,Aluguel Apartamento 160 m²,3 Quartos,1 Suíte,1 Vaga,Excelente apartamento Quadra militar Composto de hall de entrada Sala Sala de Jantar Copa/Cozinha DCE 03 Quartos ... 21/08/22
32,"SQN 104 Bloco K, ASA NORTE, BRASILIA",,R$,4.800,m² R$,39,Aluguel Apartamento 123 m²,3 Quartos,1 Suíte,,"PREDIO LOCALIZADO NA SQN 104 BLOCO K DE 3 QUARTOS COM 1 ESCRITORIO QUE PODE TORNAR MAIS UM QUARTO, DE FRENTE AO EIXO POR... 21/08/22"
33,"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,R$,3.300,m² R$,47,Aluguel Apartamento 70 m²,3 Quartos,1 Suíte,1 Vaga,"MOBILIADO Living Apartamento de 3 quartos , sendo uma suite e um quarto tipo escritório , armários com espelhos e sapat... 21/08/22"
34,"Avenida Pau Brasil, SUL, AGUAS CLARAS","1º ANDAR | RESD. PAU BRASIL, Residencial Central Park",R$,2.750,m² R$,50,Aluguel Apartamento 55 m²,2 Quartos,1 Suíte,1 Vaga,"*** ALUGUEL SEM BUROCRACIA *** *** CONDOMÍNIO E IPTU *** *** INCLUSOS *** Apartamento de 02 Quartos, sendo 01 suíte, 55... 21/08/22"
35,"Quadra 205, SUL, AGUAS CLARAS",,R$,4.950,m² R$,38,Aluguel Apartamento 127 m²,3 Quartos,1 Suíte,2 Vagas,"Quadra 205 Praça Jandaia, Ed. Belo Horizonte - Águas Claras/DF Alugue este imóvel com seu cartão de crédito pela CredPa... 21/08/22"
36,"SQNW 103 Bloco B, NOROESTE, BRASILIA",,R$,4.800,m² R$,64,Aluguel Apartamento 75 m²,2 Quartos,1 Suíte,2 Vagas,"Apartamento novo com o melhor padrão construtivo do Noroeste, composto por: Sala Ampla com Ar condicionado; 02 Quartos c... 21/08/22"
37,"Quadra 1, SETOR INDUSTRIAL, GAMA","RESIDENCIAL MONET, Residencial Gamaggiore",R$,1.600,m² R$,22,Aluguel Apartamento 72 m²,3 Quartos,1 Suíte,1 Vaga,"RESIDENCIAL MONET. . Esse lindo apartamento esta disponível para locação, nascente, vista livre, desocupado, reformado, ... 21/08/22"
38,"Avenida Flamboyant, NORTE, AGUAS CLARAS","Apartamento 1001, Residencial Flamboyant",R$,3.700,m² R$,25,Aluguel Apartamento 146 m²,3 Quartos,1 Suíte,2 Vagas,Apartamento três quartos + DCE com área de lazer em Águas Claras! Disponível para aluguel na Martins Andrade Consultor... 21/08/22
39,"SQS 107 Bloco C, ASA SUL, BRASILIA",APARTAMENTO,R$,3.000,m² R$,33,Aluguel Apartamento 90 m²,2 Quartos,,,"- SQS 107 - COM 2 quartos, - sala, - Cozinha. - D.C.E. - Não tem vaga de garagem só estacionamento ao redor do prédio. -... 21/08/22"
40,"SQS 212 Bloco J, ASA SUL, BRASILIA",,R$,14.500,m² R$,59,Aluguel Apartamento 245 m²,4 Quartos,4 Suítes,3 Vagas,SQS 212 Bloco J Ed. Via Piermont Excelente apartamento com 4 suítes sendo 1 suíte máster. Ampla sala de visita c... 21/08/22
41,"SQNW 108 Bloco I, NOROESTE, BRASILIA",", Jardins Bela Vista",R$,4.200,m² R$,51,Aluguel Apartamento 81 m²,2 Quartos,1 Suíte,2 Vagas,"Apartamento com 81 metros de área privativa, com 02 quartos, sendo 01 suíte, armários planejados, sala com varanda gourm... 21/08/22"
42,"SQN 408 Bloco F, ASA NORTE, BRASILIA",,R$,3.900,m² R$,32,Aluguel Apartamento 120 m²,4 Quartos,1 Suíte,,"SQN 408 Bloco F - Asa Norte/DF Alugue este imóvel com seu cartão de crédito pela CredPago Apartamento amplo, vazado, ... 21/08/22"
43,"SCES Trecho 4, ASA SUL, BRASILIA",Apartamento Vista Piscina/Lago,R$,3.000,m² R$,62,Aluguel Apartamento 48 m²,1 Quarto,1 Suíte,1 Vaga,Apartamento lindo! Vista Piscina/ Lago (frente) 48m2 Mobiliado Contrato mínimo 12meses Agende já sua visita! And... 21/08/22
44,"SQS 414 Bloco L, ASA SUL, BRASILIA",,R$,2.600,m² R$,26,Aluguel Apartamento 100 m²,3 Quartos,1 Vaga,,"Apartamento na SQS 414, com elevador e garagem. 03 quartos, sendo 01 quarto com ar condicionado e ventilador; e 01 quar... 21/08/22"
45,"SGAN 914, ASA NORTE, BRASILIA",,R$,1.100,m² R$,44,Aluguel Kitnet 25 m²,1 Quarto,,,"Excelente kitinete composta por sala com armários, cozinha com armários, 01 quarto com armários, 01 banheiro com armár... 21/08/22"
46,"SHCES Quadra 309 Bloco D, NOVO, CRUZEIRO",,R$,1.900,m² R$,30,Aluguel Apartamento 62 m²,3 Quartos,,,"AP12942 - Apartamento para alugar com 3 quartos, 62m² - Shces Qd 309 Bloco D - Cruzeiro, Df Para agendar visita, copie ... 21/08/22"
47,"Rua 28, NORTE, AGUAS CLARAS",,R$,3.100,m² R$,32,Aluguel Apartamento 96 m²,3 Quartos,1 Suíte,2 Vagas,"CONDOMINIO VIA PARADISO: 100% revestido, guarita com portaria 24 horas, hall social decorado, lazer completo (Playground... 21/08/22"
48,"SQS 311 Bloco K, ASA SUL, BRASILIA",,R$,4.200,m² R$,33,Aluguel Apartamento 126 m²,3 Quartos,1 Suíte,,"SQS 311 3 QUARTOS SENDO 1 SUÍTE 1 DCE ANDAR ALTO VISTA LIVRE VAZADO 1 VAGA Ótima quadra, bem arborizada e próximo de ... 21/08/22"
49,"SQNW 307, NOROESTE, BRASILIA",,R$,6.800,m² R$,68,Aluguel Apartamento 100 m²,2 Quartos,2 Suítes,2 Vagas,"Apartamento duplex com 2 suítes amplas sendo uma com varanda, rico em armários, sala de estar e jantar com linda vista, ... 21/08/22"
50,"SQS 207 Bloco G, ASA SUL, BRASILIA",,R$,8.390,m² R$,79,Aluguel Apartamento 105 m²,2 Quartos,1 Suíte,1 Vaga,"Conheça esse apartamento de altíssimo padrão, com acabamento em mármore e ambientes integrados, muito bem distribuídos e... 21/08/22"
